@relation classification-training-weka.filters.unsupervised.attribute.Remove-R1

@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute Classe {C,N,V}

@data
9,1.001079,1.000849,1.000867,1.000638,1.00056,1.000331,1.001636,1.001407,1.001329,1.001099,0.851736,C
9,1.00185,1.001681,1.001014,1.000846,1.001014,1.000846,1.002705,1.002537,1.002244,1.002076,3.252083,C
9,1.002005,1.001798,1.001753,1.001547,1.001753,1.001547,1.002368,1.002161,1.001753,1.001547,0.65396,C
9,1.001509,1.001248,1.001367,1.001107,1.001367,1.001107,1.001674,1.001414,1.001367,1.001107,-0.277188,C
9,1.001623,1.001264,1.001135,1.000776,1.000982,1.000622,1.002056,1.001697,1.001596,1.001236,0.859107,C
9,1.000841,1.000451,1.00111,1.00072,1.000649,1.000259,1.001263,1.000873,1.000803,1.000413,0.124507,C
9,1.001011,1.000723,1.000368,1.000079,1.000214,0.999926,1.001288,1.000999,1.000981,1.000693,0.275604,V
9,1.000429,1.000263,1.000774,1.000608,1.00016,0.999994,1.000774,1.000608,1.00062,1.000454,-0.131005,V
9,1.000328,1.000258,1.000275,1.000205,0.999968,0.999899,1.000735,1.000665,1.000275,1.000205,-0.01062,V
9,0.999755,0.999645,1.00018,1.00007,0.999566,0.999457,1.000333,1.000223,0.99972,0.99961,0.049573,C
9,1.00107,1.000958,1.000382,1.00027,1.000382,1.00027,1.001455,1.001343,1.001455,1.001343,1.414356,V
9,1.000965,1.000898,1.001247,1.001181,1.000634,1.000568,1.0014,1.001334,1.000787,1.000721,0.540944,V
9,1.000474,1.000337,1.000478,1.00034,1.000171,1.000034,1.000784,1.000647,1.000171,1.000034,-0.158031,V
9,1.00032,1.000212,1,0.999892,1,0.999892,1.000766,1.000658,1.000613,1.000505,-0.207168,V
9,0.999342,0.999269,0.999811,0.999738,0.999046,0.998972,0.999964,0.999891,0.999352,0.999279,1.056884,V
9,0.998688,0.998784,0.999352,0.999449,0.99828,0.998376,0.999352,0.999449,0.998739,0.998836,0.753462,C
