duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,cast_total_facebook_likes,facenumber_in_poster,budget,actor_2_facebook_likes,movie_facebook_likes,rating
178,0,855,1000,760505847,4834,0,237000000,936,33000,B
100,15,284,799,200807262,2036,1,260000000,553,29000,B
153,282,10000,25000,301956980,58753,3,250000000,11000,10000,B
169,0,903,18000,200069408,29991,0,209000000,10000,0,B
106,395,393,451,168368427,2023,1,200000000,412,0,B
150,563,1000,40000,89289910,45757,1,215000000,2000,48000,B
143,0,748,15000,291021565,20495,0,225000000,3000,118000,B
173,0,19000,26000,623279547,87697,3,220000000,21000,123000,A
106,188,718,10000,179020854,12572,1,225000000,816,40000,B
164,0,773,5000,255108370,9152,0,250000000,972,65000,B
156,0,738,891,105219735,3244,0,200000000,882,17000,B
186,0,773,5000,258355354,9152,6,225000000,972,83000,B
113,129,1000,16000,70083519,24106,2,180000000,6000,0,B
194,0,794,29000,658672302,45223,0,200000000,14000,26000,B
147,94,11000,21000,407197282,64798,0,250000000,19000,72000,A
124,365,1000,3000,652177271,8458,0,150000000,2000,150000,B
143,0,393,883,304360277,2039,0,200000000,563,80000,B
135,0,4000,24000,373377893,43388,1,200000000,11000,0,B
108,13000,11000,40000,334185206,79957,0,200000000,25000,24000,B
104,420,560,20000,234360014,21714,0,210000000,808,0,B
104,37,760,12000,268488329,14863,0,200000000,779,44000,B
165,0,808,974,245428137,3988,2,210000000,956,56000,C
130,0,11000,44000,234903076,73441,4,215000000,15000,60000,B
142,464,825,15000,202853933,28631,0,200000000,10000,41000,B
106,487,776,1000,191450875,4482,0,200000000,919,10000,B
123,258,326,16000,116593191,17657,2,200000000,368,24000,C
103,125,721,15000,414984497,19085,3,200000000,1000,30000,A
140,0,14000,26000,350034110,79150,0,190000000,23000,94000,B
123,395,1000,17000,202351611,32392,0,190000000,11000,129000,B
149,0,20000,34000,233914986,91434,7,200000000,22000,82000,A
114,0,140,979,65171860,1766,1,195000000,557,22000,B
143,1000,77,29000,144812796,29770,4,105000000,509,115000,B
131,0,919,16000,101785482,19166,0,190000000,968,83000,B
122,14000,1000,11000,317011114,14959,2,185000000,1000,5000,B
93,56,838,2000,237282182,5005,0,185000000,1000,39000,B
91,420,173,268,140080850,1125,2,140000000,268,0,B
158,776,310,1000,166112167,2144,0,200000000,468,13000,C
96,0,10000,18000,137850096,48878,0,200000000,14000,0,B
150,80,82,1000,291709845,1317,5,180000000,190,0,B
144,0,1000,34000,154985087,49684,6,178000000,13000,54000,B
152,22000,11000,23000,533316061,57802,0,185000000,13000,37000,A
94,11,459,1000,198332128,2579,2,175000000,973,0,B
126,4000,4000,21000,318298180,39252,3,140000000,12000,10000,B
106,188,582,10000,113745408,15870,2,170000000,4000,0,C
112,357,595,5000,102176165,9131,2,145000000,3000,0,C
123,452,329,10000,161087183,11287,8,175000000,336,80000,B
113,218,509,10000,100189501,12652,1,178000000,854,77000,B
176,58,60,711,88246220,1004,0,175000000,60,0,B
118,208,570,23000,150167630,26683,4,175000000,2000,0,C
106,4000,591,19000,362645141,32921,0,175000000,13000,65000,B
124,4000,4000,21000,312057433,48638,4,200000000,19000,18000,B
97,171,846,11000,241407328,15516,2,180000000,2000,89000,B
130,198,884,10000,208543795,14363,0,170000000,2000,45000,B
109,596,283,622,,1982,3,,525,677,C
136,94,2000,19000,259746958,36188,1,170000000,11000,55000,B
93,31,213,4000,238371987,4628,2,165000000,225,0,B
102,38,562,756,222487711,2963,0,165000000,719,41000,B
101,66,833,975,189412677,4451,1,165000000,931,40000,B
100,0,267,15000,665426,16264,0,165000000,726,10000,B
120,776,535,890,102315545,3233,0,165000000,812,67000,C
109,84,191,648,150350192,1769,0,200000000,284,0,B
121,571,3000,14000,333130696,32438,3,170000000,14000,96000,A
169,22000,6000,11000,187991439,31488,1,165000000,11000,349000,A
120,28,12,544,,699,0,,106,0,A
182,0,773,5000,303001229,9152,,180000000,972,166000,B
106,357,4000,23000,144512310,45327,2,38000000,14000,14000,B
132,905,1000,34000,146405371,50983,3,160000000,13000,54000,B
137,508,14000,34000,281666058,81385,1,160000000,22000,38000,B
109,226,370,12000,63143812,13388,0,150000000,418,11000,B
113,33,11000,40000,76846624,80806,1,170000000,25000,30000,B
93,50,692,3000,320706665,4705,2,160000000,795,0,B
123,0,648,3000,46978995,5505,0,160000000,716,89000,B
113,150,59,531,104383624,764,4,155000000,82,11000,B
184,0,691,3000,198539855,5401,0,140000000,961,0,B
144,0,581,662,318759914,2333,0,150000000,599,8000,B
138,282,687,21000,292000866,33433,3,150000000,11000,0,B
157,179,10000,21000,289994397,53413,1,150000000,11000,0,B
102,532,979,10000,227946274,21584,0,150000000,9000,0,B
115,13000,588,40000,206456431,57844,3,150000000,16000,0,B
111,663,954,1000,206435493,4764,0,150000000,1000,10000,A
89,35,436,1000,179982968,3285,0,150000000,851,0,B
105,189,1000,49000,177243721,54039,2,150000000,3000,2000,C
119,151,2000,20000,179883016,40054,0,150000000,16000,0,B
129,0,233,309,139259759,1062,0,150000000,269,0,B
138,0,30,234,281492479,534,0,150000000,198,0,B
112,230,12000,26000,206360018,59803,3,170000000,20000,63000,B
120,750,943,27000,153629485,40025,0,150000000,9000,191000,A
115,0,12000,26000,181015141,60059,1,150000000,20000,63000,B
96,59,699,17000,114053579,20007,0,150000000,759,0,B
88,12,182,730,119420252,2217,0,150000000,607,0,C
99,473,502,14000,83640426,16184,0,150000000,897,19000,C
131,188,641,10000,195000874,21840,0,150000000,10000,47000,B
119,394,162,12000,61937495,13071,0,150000000,490,0,C
110,282,103,11000,124051759,21175,2,180000000,10000,29000,B
90,90,15,11000,165230261,21015,0,150000000,10000,20000,B
103,0,346,1000,131564731,2857,0,150000000,756,18000,C
131,776,256,17000,73103784,18204,2,150000000,551,33000,B
88,25,433,921,21379315,2652,0,150000000,562,0,C
85,42,586,20000,64459316,35161,0,149000000,14000,0,B
92,50,517,3000,111505642,5810,2,145000000,1000,11000,B
196,249,844,11000,133228348,17944,2,175000000,5000,0,B
133,93,746,769,160201106,2538,0,142000000,766,0,B
116,176,322,783,118099659,2097,4,144000000,370,62000,C
88,188,826,10000,190418803,14823,2,140000000,3000,2000,B
115,0,964,18000,82161969,31523,1,150000000,12000,3000,B
95,5,967,24000,143523463,36095,0,145000000,11000,24000,B
97,52,161,20000,103400692,20645,0,145000000,315,25000,B
150,0,748,23000,65007045,26490,0,140000000,893,51000,B
127,14000,981,26000,257704099,39284,0,150000000,12000,19000,A
121,0,4000,24000,403706375,40484,0,139000000,11000,5000,B
126,295,284,18000,31141074,19769,4,140000000,934,24000,C
121,357,653,820,31704416,2705,0,135000000,780,0,C
127,503,91,5000,129734803,6171,2,140000000,808,0,B
138,0,258,820,132122995,1814,0,137000000,300,0,C
124,42,848,11000,68642452,13073,3,130000000,973,0,B
106,6,422,12000,32131830,15015,1,137000000,2000,0,B
128,150,244,766,126930660,2037,2,135000000,536,2000,B
115,386,12000,21000,292298923,59177,3,120000000,17000,65000,C
100,750,988,49000,63992328,62644,0,135000000,11000,0,C
60,,184,982,,1687,2,1500000,321,0,B
117,14000,358,535,52792307,1950,0,140000000,400,27000,B
